reactor_id,IPL_num,MLA_sample_id,MLA_horizon_id,reference_origin,new_automated,legacy_standardized,legacy_manual,previous_automated,new_minus_legacy,new_minus_previous_automated,abs_new_minus_legacy,within_5_permeg,workbook_O2_difference,calibration_method,calibration_d18_slope,calibration_d18_intercept,calibration_standard_offset
31,5502,PB-00-03-08,PB-00-03-08,IPL R pipeline,-106.47607956282201,-106.7821877,-106.7821877,-106.4760796,0.30610813717798635,3.717799756941531e-8,0.30610813717798635,TRUE,-9.416112334292848e-11,BP validated; equal standard-type weighting; one-standard intercept-only transfer,1,3.7908025497043023,22.853159994462487
31,5503,PB-00-03-08,PB-00-03-08,IPL R pipeline,-112.0192323909609,-112.3007812,-112.3007812,-112.0192324,0.2815488090391085,9.039112569553254e-9,0.2815488090391085,TRUE,-7.815970093361102e-11,BP validated; equal standard-type weighting; one-standard intercept-only transfer,1,3.7908025497043023,22.853159994462487
31,5504,PB-00-03-16,PB-00-03-16,IPL R pipeline,-98.73615822717517,-98.98475274,-98.98475274,-98.73615823,0.24859451282483747,2.8248337002878543e-9,0.24859451282483747,TRUE,1.6001422409317456e-11,BP validated; equal standard-type weighting; one-standard intercept-only transfer,1,3.7908025497043023,22.853159994462487
31,5506,PB-00-04-16,PB-00-04-16,IPL R pipeline,-118.99695929574347,-119.1146672,-119.1146672,-118.9969593,0.11770790425653388,4.2565346802803106e-9,0.11770790425653388,TRUE,-3.581135388230905e-12,BP validated; equal standard-type weighting; one-standard intercept-only transfer,1,3.7908025497043023,22.853159994462487
31,5507,PB-00-04-16,PB-00-04-16,IPL R pipeline,-107.00300383888637,-107.097244,-107.097244,-107.0030038,0.09424016111363187,-3.8886369679858035e-8,0.09424016111363187,TRUE,1.3858425518264994e-10,BP validated; equal standard-type weighting; one-standard intercept-only transfer,1,3.7908025497043023,22.853159994462487
31,5508,PB-00-02-19,PB-00-02-19,IPL R pipeline,-102.1359859349956,-102.206863,-102.206863,-102.1359859,0.07087706500439594,-3.499560818909231e-8,0.07087706500439594,TRUE,2.4840574042173102e-11,BP validated; equal standard-type weighting; one-standard intercept-only transfer,1,3.7908025497043023,22.853159994462487
31,5509,PB-00-02-19,PB-00-02-19,IPL R pipeline,-88.2979593097196,-88.34902152,-88.34902152,-88.29795931,0.05106221028039215,2.8039437438565074e-10,0.05106221028039215,TRUE,7.815970093361102e-11,BP validated; equal standard-type weighting; one-standard intercept-only transfer,1,3.7908025497043023,22.853159994462487
31,5510,PB-00-02-07D,PB-00-02-07D,IPL R pipeline,-119.62654245915616,-119.5594164,-119.5594164,-119.6265425,-0.067126059156152,4.0843843862603535e-8,0.067126059156152,TRUE,8.347456059709657e-11,BP validated; equal standard-type weighting; one-standard intercept-only transfer,1,3.7908025497043023,22.853159994462487
31,5512,PB-00-02-07D,PB-00-02-07D,IPL R pipeline,-91.03973793912266,-90.92967855,-90.92967855,-91.03973794,-0.11005938912265378,8.773355375524261e-10,0.11005938912265378,TRUE,6.752998160663992e-11,BP validated; equal standard-type weighting; one-standard intercept-only transfer,1,3.7908025497043023,22.853159994462487
32,5692,PB-00-04-11,PB-00-04-11,IPL R pipeline,-106.18951905302794,-110.9052264,-110.9052264,-106.633802,4.715707346972067,0.4442829469720664,4.715707346972067,TRUE,-10.70631215435293,BP validated; equal standard-type weighting; two-standard linear transfer,1.2345177534893406,-1.549643076200614,42.50433547084037
32,5693,PB-00-04-11,PB-00-04-11,IPL R pipeline,-104.54427883401002,-108.9445181,-108.9445181,-104.9516809,4.400239265989981,0.4074020659899844,4.400239265989981,TRUE,-10.709687085121544,BP validated; equal standard-type weighting; two-standard linear transfer,1.2345177534893406,-1.549643076200614,42.50433547084037
