path_id,initial_T_C,initial_d18Owater_vsmow,max_T_C,total_d18Owater_shift
1,22.189438003115356,-5.878363544121385,76.4173640543595,13.132395661436021
2,34.707628386095166,-5.801351330243051,95.63201596029103,13.832046275492758
3,25.224423045292497,-6.277399215847254,69.61108880583197,6.388473853934556
4,37.075435100123286,-7.520162526052445,111.20581432711333,3.2286092047579587
5,38.51168210734613,-5.807274382561445,110.86434946395457,9.736849759239703
6,16.13891248474829,-6.9319171123206615,88.67320875171572,7.792852824553847
7,28.202637201175094,-4.783677676226944,106.4215273456648,8.185941252857447
8,37.31047610985115,-4.9763077278621495,77.72400483023375,6.070837456732988
9,28.785875361645594,-2.32978937914595,63.937686709687114,5.966450738720596
10,26.415368382586166,-5.95207229629159,86.43198749050498,8.355961536522955
11,38.92083363374695,-5.211717355065048,87.7259314712137,6.329198188148439
12,26.333353904774413,-7.504812910221517,80.45606221072376,13.392521221190691
13,31.939265886321664,-2.8393589234910905,71.10841912217438,11.822024900000542
14,29.31583504891023,-5.626036160159856,90.41986361145973,3.1187604372389615
15,17.573117066640407,-3.5846038977615535,61.15146183874458,5.882382478099316
16,37.49562426004559,-6.969539564102888,106.42116236966103,5.879761097487062
17,21.152193358866498,-5.271430212073028,93.5799047537148,0.29107188433408737
18,16.051488338271156,-3.378771443385631,98.48775835242122,5.326271573547274
19,23.19801798206754,-7.624100009910762,88.10592711903155,5.912877986207604
20,38.862591228680685,-3.1095110294409096,76.75342863891274,2.679964887909591
21,37.23848290159367,-6.1931448532268405,87.67299422062933,9.874609944410622
22,32.32008515391499,-5.811973832082003,107.56430050358176,0.18928665341809392
23,31.012670344207436,-6.127323248423636,95.13393457978964,10.236843480728567
24,39.8567444155924,-7.775780210737139,83.68553915061057,6.058137371670455
25,31.392644977895543,-4.887170459609479,108.67424097843468,10.23736130213365
26,32.71326170419343,-3.9259195057675242,79.11378563381732,0.1951817348599434
27,28.60165061778389,-2.580598638392985,94.88684029318392,0.6343863187357783
28,29.853550511179492,-7.846839809324592,87.32933747582138,5.8578012702055275
29,22.228993432363495,-2.0655303755775094,76.12820698879659,9.013760029803962
30,18.677841182798147,-6.182674252428114,93.31063228659332,3.0771129983477294
31,39.07560581341386,-2.3651695963926613,73.87385305948555,11.668197139631957
32,37.557476127985865,-3.8743545096367598,92.59397387970239,9.7267423896119
33,32.26763196056709,-5.31777803087607,86.85420847032219,12.587742792908102
34,34.88668544217944,-3.1011311672627926,67.81728821340948,5.799363994039595
35,15.615342112723738,-7.763004812877625,97.3035589652136,5.754065845627338
36,26.944899277295917,-3.5658098869025707,92.87965699564666,3.500209851656109
37,33.96148843807168,-5.907683037687093,68.95465282257646,5.23273854656145
38,20.41019839583896,-3.024495059158653,93.57275215443224,3.2464982573874295
39,22.95452519087121,-4.786751649808139,85.6131345871836,13.042444305028766
