Age_Ma,MAT_model_C,MAT_lower95_C,MAT_lower80_C,MAT_median_C,MAT_upper80_C,MAT_upper95_C,simulation_support_n,simulation_support_fraction,retained_for_plot,model_target,proxy_basis,uncertainty_scope,extrapolated
52.842,19.484093046600705,16.426996512181972,17.61637223459315,19.45159316305585,21.44384697172562,22.29895377664223,976,0.488,FALSE,mean annual air temperature,Wing et al. (2000) aggregate leaf-margin analysis,Monte Carlo propagation of published MAT error and uniform sampling within each aggregate age interval,FALSE
52.852,19.46264623647514,16.50078179208374,17.658205459675195,19.473362032324044,21.39973713423629,22.337006934935232,2000,1,TRUE,mean annual air temperature,Wing et al. (2000) aggregate leaf-margin analysis,Monte Carlo propagation of published MAT error and uniform sampling within each aggregate age interval,FALSE
52.862,19.441200518945163,16.494596942748192,17.641672923998044,19.4514069100845,21.368808893875816,22.30253663404796,2000,1,TRUE,mean annual air temperature,Wing et al. (2000) aggregate leaf-margin analysis,Monte Carlo propagation of published MAT error and uniform sampling within each aggregate age interval,FALSE
52.872,19.419757080533106,16.488413762249404,17.627258878822015,19.430350038706592,21.3377741551941,22.26770943562255,2000,1,TRUE,mean annual air temperature,Wing et al. (2000) aggregate leaf-margin analysis,Monte Carlo propagation of published MAT error and uniform sampling within each aggregate age interval,FALSE
52.882,19.39831710776122,16.476032536288546,17.61553897565672,19.407698074907966,21.309953265097135,22.233688675791843,2000,1,TRUE,mean annual air temperature,Wing et al. (2000) aggregate leaf-margin analysis,Monte Carlo propagation of published MAT error and uniform sampling within each aggregate age interval,FALSE
52.891999999999996,19.376881787151795,16.457556677312038,17.600267205058387,19.38597081780123,21.280950250059476,22.198558957220985,2000,1,TRUE,mean annual air temperature,Wing et al. (2000) aggregate leaf-margin analysis,Monte Carlo propagation of published MAT error and uniform sampling within each aggregate age interval,FALSE
52.902,19.355452305227107,16.439141025406418,17.583755321989234,19.364747216204716,21.26149864830521,22.165064866085807,2000,1,TRUE,mean annual air temperature,Wing et al. (2000) aggregate leaf-margin analysis,Monte Carlo propagation of published MAT error and uniform sampling within each aggregate age interval,FALSE
52.912,19.33402984850945,16.432268135897203,17.56835777136729,19.34384460516528,21.23639130845523,22.1354666175975,2000,1,TRUE,mean annual air temperature,Wing et al. (2000) aggregate leaf-margin analysis,Monte Carlo propagation of published MAT error and uniform sampling within each aggregate age interval,FALSE
52.922,19.312615603521117,16.426485828479713,17.549204249295343,19.320616393726965,21.20219952088459,22.105501254872895,2000,1,TRUE,mean annual air temperature,Wing et al. (2000) aggregate leaf-margin analysis,Monte Carlo propagation of published MAT error and uniform sampling within each aggregate age interval,FALSE
52.932,19.29121075678436,16.4218588129143,17.527311872033337,19.299517986926027,21.16760773280466,22.071785085993398,2000,1,TRUE,mean annual air temperature,Wing et al. (2000) aggregate leaf-margin analysis,Monte Carlo propagation of published MAT error and uniform sampling within each aggregate age interval,FALSE
